line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model
560,timsort,2265,16.408,405.287,0,9802,1769134488.798,-305.081,meta-llama/Llama-3.2-1B-Instruct
569,timsort,2293,16.59,405.287,0,9799,1769134489.107,-309.875,meta-llama/Llama-3.2-1B-Instruct
576,timsort,2320,16.799,405.287,0,9794,1769134489.76,-314.339,meta-llama/Llama-3.2-1B-Instruct
585,timsort,2349,16.987,405.287,0,9792,1769134489.81,-319.413,meta-llama/Llama-3.2-1B-Instruct
592,timsort,2377,17.17,405.287,0,9787,1769134490.251,-324.045,meta-llama/Llama-3.2-1B-Instruct
597,timsort,2405,17.327,405.287,0,9783,1769134490.42,-328.966,meta-llama/Llama-3.2-1B-Instruct
602,timsort,2432,17.542,405.287,0,9782,1769134490.578,-333.952,meta-llama/Llama-3.2-1B-Instruct
610,timsort,2462,17.588,405.287,0,9780,1769134490.752,-338.843,meta-llama/Llama-3.2-1B-Instruct
617,timsort,2490,17.867,405.287,0,9776,1769134491.408,-343.282,meta-llama/Llama-3.2-1B-Instruct
627,timsort,2521,18.015,405.287,0,9774,1769134491.533,-348.401,meta-llama/Llama-3.2-1B-Instruct
634,timsort,2549,18.164,405.287,0,9769,1769134492.255,-353.174,meta-llama/Llama-3.2-1B-Instruct
638,timsort,2579,18.32,405.287,0,9766,1769134492.693,-357.827,meta-llama/Llama-3.2-1B-Instruct
645,timsort,2607,18.463,405.287,0,9764,1769134492.769,-363.048,meta-llama/Llama-3.2-1B-Instruct
652,timsort,2637,18.603,405.287,0,9763,1769134492.849,-368.179,meta-llama/Llama-3.2-1B-Instruct
664,timsort,2665,18.754,405.287,0,9759,1769134493.19,-373.162,meta-llama/Llama-3.2-1B-Instruct
674,timsort,2695,18.863,405.287,0,9754,1769134493.437,-378.013,meta-llama/Llama-3.2-1B-Instruct
679,timsort,2723,19.01,405.287,0,9745,1769134493.825,-382.762,meta-llama/Llama-3.2-1B-Instruct
687,timsort,2753,19.149,405.287,0,9744,1769134493.846,-387.885,meta-llama/Llama-3.2-1B-Instruct
696,timsort,2780,19.276,405.287,0,9740,1769134494.013,-393.12,meta-llama/Llama-3.2-1B-Instruct
704,timsort,2810,19.283,405.287,0,9735,1769134494.431,-397.748,meta-llama/Llama-3.2-1B-Instruct
713,timsort,2837,19.442,405.287,0,9731,1769134494.767,-402.579,meta-llama/Llama-3.2-1B-Instruct
724,timsort,2866,19.558,405.287,0,9726,1769134495.34,-407.121,meta-llama/Llama-3.2-1B-Instruct
730,timsort,2892,19.702,405.287,0,9719,1769134496.103,-411.462,meta-llama/Llama-3.2-1B-Instruct
738,timsort,2919,19.852,405.287,0,9718,1769134496.176,-416.422,meta-llama/Llama-3.2-1B-Instruct
747,timsort,2947,19.963,405.287,0,9713,1769134496.609,-421.052,meta-llama/Llama-3.2-1B-Instruct
754,timsort,2974,20.094,405.287,0,9708,1769134496.768,-425.958,meta-llama/Llama-3.2-1B-Instruct
760,timsort,3002,20.219,405.287,0,9705,1769134496.884,-430.986,meta-llama/Llama-3.2-1B-Instruct
769,timsort,3030,20.317,405.287,0,9703,1769134497.033,-435.98,meta-llama/Llama-3.2-1B-Instruct
775,timsort,3057,20.449,405.287,0,9698,1769134497.387,-440.632,meta-llama/Llama-3.2-1B-Instruct
780,timsort,3085,20.557,405.287,0,9697,1769134497.403,-445.723,meta-llama/Llama-3.2-1B-Instruct
785,timsort,3113,20.656,405.287,0,9696,1769134497.412,-450.875,meta-llama/Llama-3.2-1B-Instruct
791,timsort,3141,20.751,405.287,0,9694,1769134497.442,-456.002,meta-llama/Llama-3.2-1B-Instruct
800,timsort,3169,20.843,405.287,0,9692,1769134497.537,-460.974,meta-llama/Llama-3.2-1B-Instruct
808,timsort,3198,20.968,411.666,0,9687,1769134498.021,-465.536,meta-llama/Llama-3.2-1B-Instruct
815,timsort,3227,20.985,411.666,0,9683,1769134498.108,-470.737,meta-llama/Llama-3.2-1B-Instruct
822,timsort,3254,21.104,411.666,0,9681,1769134498.24,-475.801,meta-llama/Llama-3.2-1B-Instruct
830,timsort,3283,21.195,411.666,0,9677,1769134499.094,-479.947,meta-llama/Llama-3.2-1B-Instruct
836,timsort,3311,21.279,411.666,0,9673,1769134499.346,-484.838,meta-llama/Llama-3.2-1B-Instruct
847,timsort,3339,21.369,411.666,0,9671,1769134499.383,-489.899,meta-llama/Llama-3.2-1B-Instruct
858,timsort,3367,21.447,411.666,0,9664,1769134500.031,-494.37,meta-llama/Llama-3.2-1B-Instruct
863,timsort,3394,21.54,411.666,0,9657,1769134500.988,-498.506,meta-llama/Llama-3.2-1B-Instruct
870,timsort,3424,21.638,411.666,0,9656,1769134500.991,-503.548,meta-llama/Llama-3.2-1B-Instruct
877,timsort,3454,21.626,411.666,0,9653,1769134501.159,-508.788,meta-llama/Llama-3.2-1B-Instruct
882,timsort,3482,21.716,411.666,0,9650,1769134501.751,-513.319,meta-llama/Llama-3.2-1B-Instruct
892,timsort,3510,21.801,411.666,0,9649,1769134501.777,-518.462,meta-llama/Llama-3.2-1B-Instruct
907,timsort,3537,21.899,411.666,0,9643,1769134501.982,-523.404,meta-llama/Llama-3.2-1B-Instruct
918,timsort,3566,21.966,411.666,0,9632,1769134502.745,-527.664,meta-llama/Llama-3.2-1B-Instruct
927,timsort,3595,22.034,411.666,0,9625,1769134503.286,-532.137,meta-llama/Llama-3.2-1B-Instruct
934,timsort,3624,22.099,411.666,0,9620,1769134503.708,-536.724,meta-llama/Llama-3.2-1B-Instruct
942,timsort,3651,22.183,411.666,0,9617,1769134504.144,-541.422,meta-llama/Llama-3.2-1B-Instruct
947,timsort,3681,22.159,411.666,0,9614,1769134504.424,-546.24,meta-llama/Llama-3.2-1B-Instruct
953,timsort,3709,22.228,411.666,0,9612,1769134504.758,-550.999,meta-llama/Llama-3.2-1B-Instruct
966,timsort,3736,22.303,411.666,0,9610,1769134504.852,-556.049,meta-llama/Llama-3.2-1B-Instruct
978,timsort,3766,22.366,411.666,0,9601,1769134505.407,-560.617,meta-llama/Llama-3.2-1B-Instruct
984,timsort,3793,22.446,411.666,0,9593,1769134505.738,-565.451,meta-llama/Llama-3.2-1B-Instruct
996,timsort,3821,22.514,411.666,0,9591,1769134505.772,-570.516,meta-llama/Llama-3.2-1B-Instruct
1001,timsort,3850,22.51,411.666,0,9583,1769134506.306,-574.995,meta-llama/Llama-3.2-1B-Instruct
1005,timsort,3876,22.598,411.666,0,9582,1769134506.381,-580.017,meta-llama/Llama-3.2-1B-Instruct
1014,timsort,3903,22.683,414.067,0,9582,1769134506.381,-585.061,meta-llama/Llama-3.2-1B-Instruct
1023,timsort,3931,22.755,418.351,0,9577,1769134506.905,-589.586,meta-llama/Llama-3.2-1B-Instruct
1033,timsort,3958,22.852,418.351,0,9573,1769134507.368,-594.174,meta-llama/Llama-3.2-1B-Instruct
1042,timsort,3987,22.918,418.351,0,9566,1769134507.888,-598.689,meta-llama/Llama-3.2-1B-Instruct
1047,timsort,4016,22.974,418.351,0,9561,1769134508.1,-603.553,meta-llama/Llama-3.2-1B-Instruct
1051,timsort,4045,22.962,418.351,0,9560,1769134508.197,-608.653,meta-llama/Llama-3.2-1B-Instruct
1059,timsort,4074,23.02,418.351,0,9560,1769134508.197,-613.679,meta-llama/Llama-3.2-1B-Instruct
1066,timsort,4101,23.087,418.351,0,9557,1769134508.698,-618.26,meta-llama/Llama-3.2-1B-Instruct
1074,timsort,4130,23.151,418.351,0,9553,1769134509.045,-622.925,meta-llama/Llama-3.2-1B-Instruct
1081,timsort,4159,23.198,418.351,0,9549,1769134509.345,-627.751,meta-llama/Llama-3.2-1B-Instruct
1086,timsort,4187,23.254,418.351,0,9546,1769134509.66,-632.587,meta-llama/Llama-3.2-1B-Instruct
1090,timsort,4214,23.318,418.351,0,9545,1769134509.685,-637.732,meta-llama/Llama-3.2-1B-Instruct
1099,timsort,4243,23.371,418.351,0,9545,1769134509.685,-642.752,meta-llama/Llama-3.2-1B-Instruct
1107,timsort,4273,23.338,418.351,0,9541,1769134510.043,-647.567,meta-llama/Llama-3.2-1B-Instruct
1117,timsort,4302,23.378,418.351,0,9536,1769134510.162,-652.539,meta-llama/Llama-3.2-1B-Instruct
1126,timsort,4330,23.422,418.351,0,9530,1769134510.935,-656.8,meta-llama/Llama-3.2-1B-Instruct
1135,timsort,4357,23.484,418.351,0,9526,1769134511.223,-661.625,meta-llama/Llama-3.2-1B-Instruct
1140,timsort,4384,23.539,418.351,0,9520,1769134511.658,-666.232,meta-llama/Llama-3.2-1B-Instruct
1152,timsort,4413,23.578,418.351,0,9519,1769134511.698,-671.27,meta-llama/Llama-3.2-1B-Instruct
1156,timsort,4441,23.62,418.351,0,9512,1769134512.259,-675.852,meta-llama/Llama-3.2-1B-Instruct
1168,timsort,4472,23.578,418.351,0,9511,1769134512.357,-680.783,meta-llama/Llama-3.2-1B-Instruct
1173,timsort,4500,23.621,418.351,0,9503,1769134512.93,-685.391,meta-llama/Llama-3.2-1B-Instruct
1181,timsort,4528,23.669,418.351,0,9502,1769134513.187,-690.302,meta-llama/Llama-3.2-1B-Instruct
1185,timsort,4556,23.718,418.351,0,9498,1769134513.55,-695.035,meta-llama/Llama-3.2-1B-Instruct
1194,timsort,4585,23.774,418.351,0,9498,1769134513.55,-700.14,meta-llama/Llama-3.2-1B-Instruct
1201,timsort,4613,23.836,418.351,0,9493,1769134514.039,-704.828,meta-llama/Llama-3.2-1B-Instruct
1210,timsort,4642,23.87,418.351,0,9491,1769134514.26,-709.803,meta-llama/Llama-3.2-1B-Instruct
1217,timsort,4671,23.861,418.351,0,9485,1769134514.796,-714.358,meta-llama/Llama-3.2-1B-Instruct
1223,timsort,4699,23.908,418.351,0,9482,1769134515.011,-719.153,meta-llama/Llama-3.2-1B-Instruct
1232,timsort,4726,23.969,418.351,0,9480,1769134515.043,-724.187,meta-llama/Llama-3.2-1B-Instruct
1249,timsort,4753,24.041,418.351,0,9475,1769134515.439,-728.898,meta-llama/Llama-3.2-1B-Instruct
1258,timsort,4781,24.085,418.351,0,9462,1769134516.473,-732.941,meta-llama/Llama-3.2-1B-Instruct
1269,timsort,4809,24.146,418.351,0,9457,1769134516.786,-737.695,meta-llama/Llama-3.2-1B-Instruct
1276,timsort,4838,24.124,418.351,0,9450,1769134517.279,-742.271,meta-llama/Llama-3.2-1B-Instruct
1285,timsort,4866,24.172,418.351,0,9447,1769134517.551,-747.063,meta-llama/Llama-3.2-1B-Instruct
1291,timsort,4895,24.218,418.351,0,9442,1769134518.041,-751.669,meta-llama/Llama-3.2-1B-Instruct
1299,timsort,4923,24.263,418.351,0,9440,1769134518.146,-756.717,meta-llama/Llama-3.2-1B-Instruct
1304,timsort,4949,24.325,418.351,0,9436,1769134518.553,-761.36,meta-llama/Llama-3.2-1B-Instruct
1314,timsort,4978,24.362,418.351,0,9435,1769134518.562,-766.391,meta-llama/Llama-3.2-1B-Instruct
1322,timsort,5006,24.412,418.351,0,9430,1769134518.82,-771.298,meta-llama/Llama-3.2-1B-Instruct
1330,timsort,5036,24.441,418.351,0,9425,1769134519.156,-776.283,meta-llama/Llama-3.2-1B-Instruct
1336,timsort,5066,24.417,418.351,0,9421,1769134519.337,-781.374,meta-llama/Llama-3.2-1B-Instruct
1343,timsort,5094,24.452,418.351,0,9420,1769134519.379,-786.455,meta-llama/Llama-3.2-1B-Instruct
1348,timsort,5122,24.488,418.351,0,9416,1769134519.623,-791.318,meta-llama/Llama-3.2-1B-Instruct
